index,Formula,sim_cell,PBE_LC,PBE_bgType,PBE_bg_eV,PBE_dbg_eV,PBE_FormE_eV,PBE_DecoE_eV,dielc,PV_FOM,SLME_5um,SLME_100um,HSE_LC,HSE_bgType,HSE_bg_eV,HSE_dbg_eV,HSE_FormE_eV,HSE_DecoE_eV
0,MAGeCl3,2x2x2,5.61856,Direct,1.954,1.9549,-6.62302,-0.389021,4.2358,5.06336,0.147931,0.23505,5.70384,Direct,3.022,3.0221,-6.84254,-0.222536
1,MAGeBr3,2x2x2,5.92741,Direct,1.612,1.6123,-5.56982,-0.246824,4.93927,5.20034,0.203633,0.298218,6.11748,Direct,3.3229,3.3229,-6.06859,-0.328594
2,MAGeI3,2x2x2,6.25071,Direct,1.311,1.311,-4.15937,-0.0283656,6.31607,5.35753,0.230784,0.325905,6.45718,Direct,2.5573,2.5573,-4.54997,0.330034
3,MASnCl3,2x2x2,5.75708,Direct,1.582,1.5821,-7.20384,-0.250845,4.45727,5.16176,0.165298,0.303559,5.86279,Direct,3.1821,3.1821,-7.45214,-0.232144
4,MASnBr3,2x2x2,6.06942,Direct,1.262,1.2624,-6.16677,-0.224765,5.33183,5.28127,0.198125,0.322138,6.2493,Direct,3.5319,3.5319,-6.62893,-0.17893
5,MASnI3,2x2x2,6.36333,Direct,0.879,0.8792,-4.72488,-0.154882,7.88733,5.46681,0.200203,0.273765,6.59406,Direct,2.5741,2.5741,-5.10386,0.346137
6,MAPbI3,2x2x2,6.42222,Direct,1.852,1.8522,-5.06588,0.035125,6.0004,5.39772,0.216352,0.256961,6.47305,Indirect,2.6353,2.7094,-5.64002,0.529983
7,MAPbBr3,2x2x2,6.0655,Direct,1.974,1.9742,-6.54505,-0.152052,4.4439,5.21216,0.116085,0.23133,6.14245,Direct,3.4084,3.4085,-7.21409,-0.144086
8,MAPbCl3,2x2x2,5.75814,Indirect,2.526,2.5511,-7.59586,-0.171855,3.905,4.93458,0.0596998,0.114026,5.7749,Direct,3.8377,3.8378,-7.99976,-0.129758
9,CsGeCl3,2x2x2,5.33251,Direct,1.051,1.051,-6.69654,1.23946,6.8828,5.36682,0.176772,0.309925,5.39089,Direct,1.8986,1.8986,-6.70902,1.56098
10,CsGeBr3,2x2x2,5.61279,Direct,0.767,0.7676,-5.65217,-0.277172,9.6899,5.52436,0.159768,0.241544,5.67475,Direct,1.5158,1.5158,-5.88702,-0.21702
11,CsGeI3,2x2x2,5.99634,Direct,0.635,0.6354,-4.20085,0.0021507,14.2211,5.64062,0.153652,0.191961,6.10041,Direct,1.304,1.304,-4.36909,0.0509115
12,CsSnCl3,2x2x2,5.63393,Direct,1.028,1.0285,-7.30087,1.35413,5.9089,5.2991,0.172055,0.307402,5.67683,Direct,1.8043,1.8043,-7.39009,1.47991
13,CsSnBr3,2x2x2,5.886,Direct,0.634,0.6341,-6.26161,-0.267608,9.3773,5.42771,0.121923,0.191136,5.95607,Direct,1.3894,1.3894,-6.58985,-0.209854
14,CsSnI3,2x2x2,6.28623,Direct,0.483,0.4835,-4.79523,-0.15323,14.2792,5.54795,0.0953213,0.126333,6.3863,Direct,1.1556,1.1556,-5.07177,-0.0817748
15,CsPbCl3,2x2x2,5.73392,Direct,2.211,2.2116,-7.68927,1.43673,4.0435,4.97285,0.0849946,0.181255,5.76142,Direct,3.0773,3.0773,-7.99645,1.52355
16,CsPbBr3,2x2x2,5.99648,Direct,1.774,1.7743,-6.6152,-0.170204,4.923,5.2399,0.15353,0.272402,6.04102,Direct,2.5758,2.5758,-7.17041,-0.170408
17,CsPbI3,2x2x2,6.39465,Direct,1.482,1.4822,-5.10983,0.0631723,6.3797,5.46552,0.218556,0.317075,6.45198,Direct,2.1633,2.1633,-5.63144,0.0785597
18,FAGeCl3,2x2x2,5.74281,Direct,3.047,3.0475,-6.789,-1.404,3.61993,4.65221,0.0230034,0.0400635,5.81683,Direct,4.4396,4.4396,-7.08239,-1.34239
19,FAGeBr3,2x2x2,6.10244,Direct,2.109,2.1095,-5.62268,-0.978678,4.1877,5.01875,0.12241,0.202486,6.23816,Direct,3.8044,3.8044,-6.0717,-1.0417
20,FAGeI3,2x2x2,6.40153,Direct,1.467,1.4671,-4.20942,-0.547421,5.61753,5.27932,0.209672,0.319298,6.58241,Direct,2.8609,2.8609,-4.56937,-0.609365
21,FASnCl3,2x2x2,5.84811,Direct,2.465,2.4651,-7.33263,-1.22863,3.86997,4.92359,0.0708088,0.130693,5.92428,Direct,3.6741,3.6741,-7.64575,-1.30575
22,FASnBr3,2x2x2,6.05561,Direct,1.341,1.341,-6.26107,-0.998066,5.475,5.28432,0.207979,0.329853,6.2706,Direct,3.4442,3.4442,-6.74269,-1.00269
23,FASnI3,2x2x2,6.42932,Direct,1.054,1.0545,-4.84804,-0.747038,7.00703,5.42433,0.216624,0.309783,6.68222,Indirect,2.8648,2.8696,-5.24242,-0.71242
24,FAPbCl3,2x2x2,5.8187,Direct,2.611,2.6111,-7.66627,-1.09127,3.95527,4.86069,0.0531714,0.103315,5.91924,Direct,4.0745,4.0746,-8.07089,-1.08089
25,FAPbBr3,2x2x2,6.07556,Indirect,2.112,2.1219,-6.63564,-0.921643,4.72537,5.20353,0.127185,0.199072,6.20079,Direct,3.5353,3.5353,-7.24592,-0.885923
26,FAPbI3,2x2x2,6.51982,Indirect,1.942,1.9457,-5.07347,-0.441469,5.47377,5.35852,0.18639,0.236573,6.5854,Indirect,2.8146,2.9613,-5.65175,-0.401747
27,FABaI3,2x2x2,6.82147,Indirect,3.205,3.2146,-8.4068,-0.4048,3.34877,4.13317,0.00626529,0.0271158,6.80652,Indirect,4.6181,4.6316,-9.40445,-0.39445
28,FABaBr3,2x2x2,6.38427,Indirect,4.024,4.0307,-10.2778,-0.693803,2.9903,3.5711,1.34532e-05,7.80796e-05,6.37756,Direct,5.5419,5.5419,-11.3006,-0.670571
29,FABaCl3,2x2x2,6.09838,Indirect,4.56,4.5704,-11.5224,-0.747442,2.7839,3.26586,0.0,0.0,6.09268,Direct,6.2145,6.2145,-12.2829,-0.742939
30,FASrI3,2x2x2,6.56817,Indirect,3.297,3.3123,-8.22041,-0.482412,3.4898,4.09924,0.00544469,0.0216798,6.55235,Indirect,4.6831,4.7021,-9.17738,-0.507381
31,FASrBr3,2x2x2,6.11713,Indirect,4.162,4.1819,-10.1681,-0.808089,3.10327,3.51015,0.0,3.96396e-08,6.10179,Direct,5.6848,5.6848,-11.157,-0.826978
32,FASrCl3,2x2x2,5.83622,Indirect,4.708,4.723,-11.4818,-0.920752,2.87177,3.25227,0.0,0.0,5.81922,Indirect,6.3576,6.3616,-12.2158,-0.935822
33,FACaI3,2x2x2,6.39764,Direct,3.438,3.4388,-7.86437,-0.330367,3.6984,4.27707,0.00511276,0.0152906,6.37233,Direct,4.6776,4.6776,-8.77758,-0.367577
34,FACaBr3,2x2x2,5.92468,Indirect,4.225,4.2377,-9.82938,-0.78338,3.29917,3.55321,0.0,0.0,5.90328,Direct,5.6379,5.6379,-10.7941,-0.814076
35,FACaCl3,2x2x2,5.642,Indirect,4.728,4.7526,-11.1554,-0.868422,3.03443,3.30739,0.0,0.0,5.6234,Direct,6.3598,6.3598,-11.8775,-0.907473
36,MABaI3,2x2x2,6.8163,Direct,3.773,3.7733,-8.39574,0.0752618,3.22413,3.9119,0.00069529,0.00335422,6.81038,Direct,4.7868,4.7868,-9.40671,0.523294
37,MABaBr3,2x2x2,6.37451,Direct,4.239,4.2396,-10.1269,0.136144,2.8788,3.39333,0.0,0.0,6.35472,Direct,5.4282,5.4282,-11.1839,0.156118
38,MABaCl3,2x2x2,6.02662,Direct,4.909,4.9096,-11.3836,0.240438,2.70667,3.1322,0.0,0.0,5.99167,Direct,6.2991,6.2991,-12.1805,0.239456
39,MASrI3,2x2x2,6.56563,Indirect,3.763,3.764,-8.22744,-0.0204356,3.33667,3.79717,0.000591535,0.00352444,6.54705,Direct,3.4646,3.4646,-5.58371,4.00629
40,MASrBr3,2x2x2,6.10712,Direct,4.31,4.3101,-10.065,-0.0260462,2.9682,3.33819,0.0,0.0,6.0926,Direct,5.5491,5.5491,-11.0771,-0.0370927
41,MASrCl3,2x2x2,5.77438,Direct,5.106,5.1062,-11.4158,-0.00579762,2.76393,3.08954,0.0,0.0,5.76021,Direct,6.5005,6.5005,-12.1858,-0.0257814
42,MACaI3,2x2x2,6.3313,Direct,3.599,3.6065,-7.91241,0.0905948,3.62157,4.12649,0.00207198,0.00867219,6.28442,Direct,4.7801,4.7801,-8.87192,0.458075
43,MACaBr3,2x2x2,5.88771,Direct,4.374,4.3747,-9.78859,-0.0635882,3.17023,3.41659,0.0,0.0,5.86275,Direct,5.64,5.64,-10.7765,-0.0864803
44,MACaCl3,2x2x2,5.57458,Direct,5.249,5.2498,-11.196,-0.0599886,2.9099,3.14064,0.0,0.0,5.5513,Direct,6.6855,6.6855,-11.9541,-0.104087
45,CsBaI3,2x2x2,6.77049,Direct,3.511,3.5119,-8.27361,0.269394,3.2716,4.03906,0.00284079,0.012271,6.80561,Direct,4.4475,4.4475,-9.1504,0.319602
46,CsBaBr3,2x2x2,6.35373,Direct,3.996,3.9969,-10.0366,0.278439,2.8845,3.51225,2.05575e-05,0.000165605,6.35373,Direct,5.1203,5.1203,-10.945,0.325027
47,CsBaCl3,2x2x2,6.03958,Direct,4.667,4.6677,-11.3018,2.02425,2.6693,3.1663,0.0,0.0,6.03958,Direct,5.9307,5.9307,-11.9495,2.1205
48,CsSrI3,2x2x2,6.47621,Direct,3.612,3.6123,-8.24134,0.0376623,3.4317,3.89559,0.00154519,0.00850539,6.47621,Direct,4.5845,4.5845,-9.08644,0.043559
49,CsSrBr3,2x2x2,6.01787,Direct,4.165,4.1655,-10.1221,-0.0310731,3.0311,3.39521,0.0,1.79414e-07,6.01787,Direct,5.3194,5.3194,-11.007,-0.0369942
50,CsSrCl3,2x2x2,5.73392,Direct,4.94,4.9402,-11.5001,1.61188,2.7653,3.11527,0.0,0.0,5.73392,Direct,6.2377,6.2377,-12.1274,1.68261
51,CsCaI3,2x2x2,6.21829,Direct,3.713,3.7135,-8.04147,0.0335306,3.7509,4.07866,0.00139103,0.00509523,6.21829,Direct,4.7383,4.7383,-8.85473,0.0152716
52,CsCaBr3,2x2x2,5.75941,Direct,4.4,4.4002,-9.99793,-0.220928,3.2745,3.41995,0.0,0.0,5.75941,Direct,5.5737,5.5737,-10.8638,-0.243799
53,CsCaCl3,2x2x2,5.45123,Direct,5.367,5.3672,-11.4486,1.38943,2.9857,3.15074,0.0,0.0,5.45123,Direct,6.6944,6.6944,-12.0771,1.42287
54,RbBaI3,2x2x2,6.75783,Direct,3.231,3.2315,-7.93414,2.75186,3.2156,4.14788,0.00639022,0.0263532,6.77709,Direct,4.1846,4.1846,-8.80437,2.78563
55,RbBaBr3,2x2x2,6.31908,Direct,3.723,3.7235,-9.70548,0.542515,2.8221,3.67058,0.00065932,0.00476081,6.31908,Direct,4.8505,4.8505,-10.6054,0.594609
56,RbBaCl3,2x2x2,6.02296,Direct,4.335,4.3355,-10.9781,0.630916,2.5748,3.20843,0.0,0.0,6.02296,Direct,5.6027,5.6027,-11.6137,0.676277
57,RbSrI3,2x2x2,6.4361,Direct,3.332,3.3325,-7.92327,2.49873,3.3844,4.02172,0.00404648,0.0206818,6.4361,Direct,4.3016,4.3016,-8.76142,2.48858
58,RbSrBr3,2x2x2,5.99648,Direct,3.878,3.8789,-9.82528,0.198723,2.9378,3.51313,0.000132866,0.00120218,5.99648,Direct,5.0275,5.0275,-10.6943,0.205745
59,RbSrCl3,2x2x2,5.70932,Direct,4.605,4.6052,-11.2207,0.174254,2.6531,3.13179,0.0,0.0,5.70932,Direct,5.8987,5.8987,-11.831,0.19899
60,RbCaI3,2x2x2,6.18885,Direct,3.44,3.4409,-7.75352,2.46448,3.6789,4.14963,0.003405,0.0150783,6.18885,Direct,4.4137,4.4137,-8.55082,2.43918
61,RbCaBr3,2x2x2,5.72057,Direct,4.082,4.0821,-9.74595,-0.0359477,3.1734,3.46018,1.46155e-06,1.31531e-05,5.72057,Direct,5.2453,5.2453,-10.5945,-0.0444957
62,RbCaCl3,2x2x2,5.42896,Direct,4.948,4.9486,-11.2327,-0.111664,2.8424,3.15001,0.0,0.0,5.42896,Direct,6.2632,6.2632,-11.8385,-0.118502
63,RbGeI3,2x2x2,5.96778,Direct,0.58,0.5807,-3.95125,2.39475,15.5952,5.65276,0.136699,0.169484,6.07688,Direct,1.2609,1.2609,-4.09692,2.44308
64,RbGeBr3,2x2x2,5.5721,Direct,0.676,0.6763,-5.43831,-0.130313,10.8457,5.53282,0.141974,0.213812,5.6581,Direct,1.4825,1.4825,-5.63972,-0.0397224
65,RbGeCl3,2x2x2,5.29803,Direct,0.972,0.9724,-6.51848,-0.299476,7.1438,5.38646,0.173977,0.30308,5.35153,Direct,1.8034,1.8034,-6.51147,-0.0214687
66,RbSnI3,2x2x2,6.24783,Direct,0.407,0.4072,-4.49871,2.28629,17.8922,5.56005,0.0680347,0.086842,6.3709,Direct,1.1268,1.1268,-4.75694,2.35306
67,RbSnBr3,2x2x2,5.8544,Direct,0.567,0.5672,-5.98291,-0.0559068,10.626,5.43768,0.106345,0.16454,5.95337,Direct,1.3956,1.3956,-6.2806,0.0293987
68,RbSnCl3,2x2x2,5.58498,Direct,0.919,0.9198,-7.03942,-0.10142,6.3593,5.33135,0.162195,0.292588,5.64864,Direct,1.7494,1.7494,-7.11285,-0.0228528
